epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.0419,0,72.2136,0,0,0,0,0,0,75.2622,0,0.00034,0.00034,0.00034
2,140.413,0,53.0855,0,0,0,0,0,0,64.3454,0,0.00066535,0.00066535,0.00066535
3,219.833,0,45.4647,0,0,0,0,0,0,39.4231,0,0.00095506,0.00095506,0.00095506
4,265.198,0,39.8537,0,0,0,0,0,0,37.665,0,0.00120913,0.00120913,0.00120913
5,323.879,0,35.4191,0,0,0,0,0,0,33.3892,0,0.00142756,0.00142756,0.00142756
6,400.133,0,31.7089,0,0,0,0,0,0,30.4923,0,0.001505,0.001505,0.001505
7,478.786,0,27.9651,0,0,0,0,0,0,26.4183,0,0.001406,0.001406,0.001406
8,560.086,0,24.7573,0,0,0,0,0,0,23.7346,0,0.001307,0.001307,0.001307
9,638.754,0,22.1494,0,0,0,0,0,0,21.975,0,0.001208,0.001208,0.001208
10,714.666,0,19.7478,0,0,0,0,0,0,19.3296,0,0.001109,0.001109,0.001109
11,792.673,0,17.6703,0,0,0,0,0,0,17.8226,0,0.00101,0.00101,0.00101
12,871.845,0,15.9472,0,0,0,0,0,0,16.1431,0,0.000911,0.000911,0.000911
13,948.665,0,14.5739,0,0,0,0,0,0,14.8117,0,0.000812,0.000812,0.000812
14,1025.24,0,13.435,0,0,0,0,0,0,13.4425,0,0.000713,0.000713,0.000713
15,1096.62,0,12.4654,0,0,0,0,0,0,12.2837,0,0.000614,0.000614,0.000614
16,1176.47,0,11.6826,0,0,0,0,0,0,11.6221,0,0.000515,0.000515,0.000515
17,1254.34,0,11.0785,0,0,0,0,0,0,11.1435,0,0.000416,0.000416,0.000416
18,1333.86,0,10.6056,0,0,0,0,0,0,10.3963,0,0.000317,0.000317,0.000317
19,1411.42,0,10.2376,0,0,0,0,0,0,10.3425,0,0.000218,0.000218,0.000218
20,1480.07,0,10.0164,0,0,0,0,0,0,10.0938,0,0.000119,0.000119,0.000119
